id,seq,speaker,text,portrait
prologue_1,5,父親,いたたた……。,res://ui/portraits/father_01.png
prologue_1,10,主人公,大丈夫か、父さん。,res://ui/portraits/hero_01.png
prologue_1,15,父親,いや、まいったな。,res://ui/portraits/father_01.png
prologue_1,20,父親,よりによって、商売道具の足を痛めるとは……。,res://ui/portraits/father_01.png
prologue_1,25,主人公,しょうがないよ。治るまでは安静にしてなきゃ。,res://ui/portraits/hero_01.png
prologue_1,30,父親,だがな、契約が一件残っているんだ。,res://ui/portraits/father_01.png
prologue_1,35,父親,Piltonへ荷物を届けに行かないと……。,res://ui/portraits/father_01.png
prologue_1,40,主人公,Pilton？ それなら僕も行ったことあるし、代わりに届けに行くよ。,res://ui/portraits/hero_01.png
prologue_1,45,父親,お前が？,res://ui/portraits/father_01.png
prologue_1,50,父親,……ふむ。,res://ui/portraits/father_01.png
prologue_1,55,父親,分かった。お前に頼もう。ちょっと待っていろ。,res://ui/portraits/father_01.png
prologue_1,60,父親,……よし、これを持っていきなさい。,res://ui/portraits/father_01.png
prologue_1,65,主人公,これは……？,res://ui/portraits/hero_01.png
prologue_1,70,父親,俺の代理で来たって話が通らなかったら、それを持って商業ギルドを訪ねるといい。,res://ui/portraits/father_01.png
prologue_1,75,父親,Pilton地区のギルドは顔が利く。なんとかしてくれるだろう。,res://ui/portraits/father_01.png
prologue_1,80,主人公,ふうん、都会は面倒なんだね。,res://ui/portraits/hero_01.png
prologue_1,85,主人公,わかったよ。それで、荷物は？,res://ui/portraits/hero_01.png
prologue_1,90,父親,荷物はこれだ。それと、旅費も少し渡しておこう。,res://ui/portraits/father_01.png
prologue_1,95,父親,無駄遣いするなよ？,res://ui/portraits/father_01.png
prologue_1,100,主人公,大丈夫、大事に使うよ。,res://ui/portraits/hero_01.png
prologue_1,105,主人公,じゃあ、明日の朝に出発する。,res://ui/portraits/hero_01.png
prologue_1,110,父親,ああ、頼んだ。気をつけてな。,res://ui/portraits/father_01.png
prologue_5,5,主人公,ふう。,res://ui/portraits/hero_01.png
prologue_5,10,主人公,父さんのギルド許可証があったから、わりとすんなり入れたな。,res://ui/portraits/hero_01.png
prologue_5,15,主人公,よし、荷物を届けに行こう。,res://ui/portraits/hero_01.png
prologue_5,20,主人公,（大きな屋敷だ。門番の人に話しかければいいのかな……）,res://ui/portraits/hero_01.png
prologue_5,25,主人公,あの、すみません。,res://ui/portraits/hero_01.png
prologue_5,30,門番,ん？　なんだ、坊主。,res://ui/portraits/guard_01.png
prologue_5,35,主人公,『客』さまに荷物を届けに来たんですけど。,res://ui/portraits/hero_01.png
prologue_5,40,主人公,その……父が怪我をしていまして、代理で。,res://ui/portraits/hero_01.png
prologue_5,45,門番,ほう。,res://ui/portraits/guard_01.png
prologue_5,50,門番,確かに、その荷物のことはあらかじめ聞いている。ここで待っていてくれ。,res://ui/portraits/guard_01.png
prologue_5,55,客,なに、『父親』殿の息子か。,res://ui/portraits/client_01.png
prologue_5,60,主人公,は、はい。これ、父から預かったギルド許可証です。,res://ui/portraits/hero_01.png
prologue_5,65,客,……ふむ、確かにギルド許可証だな。荷物も問題なかった。,res://ui/portraits/client_01.png
prologue_5,70,客,大丈夫だろう。ご苦労だったな。代金はギルドから受け取ってくれ。,res://ui/portraits/client_01.png
prologue_5,75,主人公,わかりました。ありがとうございます。,res://ui/portraits/hero_01.png
prologue_10,5,主人公,すみませーん。,res://ui/portraits/hero_01.png
prologue_10,10,受付,はい、どうされましたか？,res://ui/portraits/clerk_01.png
prologue_10,15,主人公,お客さまに荷物を配達しましたので、報告に来ました。,res://ui/portraits/hero_01.png
prologue_10,20,受付,かしこまりました。ギルド許可証と受取証書の提示をお願いします。,res://ui/portraits/clerk_01.png
prologue_10,25,主人公,はい。,res://ui/portraits/hero_01.png
prologue_10,30,受付,あら？ この許可証は……。,res://ui/portraits/clerk_01.png
prologue_10,35,主人公,あ！ 言ってませんでした。僕、息子なんです。『父親』の。,res://ui/portraits/hero_01.png
prologue_10,40,主人公,父は今、足を怪我していて……でも急ぎの契約があるって。代わりに来たんです。,res://ui/portraits/hero_01.png
prologue_10,45,受付,ああ、なるほど。そうなんですね。,res://ui/portraits/clerk_01.png
prologue_10,50,受付,（ど、どうしよう。委任状もなしに……？）,res://ui/portraits/clerk_01.png
prologue_10,55,受付,（ホントは駄目なんだけど……）,res://ui/portraits/clerk_01.png
prologue_10,60,ギルド長,いや、構わんよ。,res://ui/portraits/guildmaster_01.png
prologue_10,65,受付,ギ、ギルド長！,res://ui/portraits/clerk_01.png
prologue_10,70,ギルド長,キミ、名前は？,res://ui/portraits/guildmaster_01.png
prologue_10,75,主人公,！,res://ui/portraits/hero_01.png
prologue_10,80,主人公,はい、『主人公』といいます。,res://ui/portraits/hero_01.png
prologue_10,85,ギルド長,やはり、な。,res://ui/portraits/guildmaster_01.png
prologue_10,90,ギルド長,キミのことは『父親』からよく聞かされていたよ。,res://ui/portraits/guildmaster_01.png
prologue_10,95,ギルド長,大方、私が何とかしてくれると思ったんだろう。,res://ui/portraits/guildmaster_01.png
prologue_10,100,主人公,は、はぁ……。,res://ui/portraits/hero_01.png
prologue_10,105,ギルド長,おい、精算してやれ。,res://ui/portraits/guildmaster_01.png
prologue_10,110,受付,あ、はい！ 少々お待ちください。,res://ui/portraits/clerk_01.png
